,版次,日期,Segmented_Content
0,第1版,1946-05-20,国民党 统治区 物价飞涨 民不堪命 重庆 机器 工厂 数百家 倒闭 延安 十七日 国民党 统治区 连日 物价 继续 飞涨 据 中央社 报导 截至 十二日 止 北平 面粉 每袋 一万八 涨至 二万 二 米 每 百斤 三万 五涨 至 五万 黄金 每 两 十五万 涨至 二十一万 南京 黄金 竟达 十八万 六 米 每石 三万 四 杭州 米 每石 四万 金 十八万 天津 米 每 百斤 四万 黄金 二十万 以上 济南 大米 每 百斤 四万 小米 每 百斤 二万 七 面粉 每 四十斤 一万 九 青岛 大米 每 百斤 四 万八千 五 太原 黄金 则 突破 二十四万 五 更有甚者 潮汕 一带 米 竟涨 至 每石 十六万 广州 月 二十二日 米 每 百斤 即达 六万 长沙 月 二十三日 米 每石 达 五万 现当 不止 此数 延安 十五日 北平 百 物价 涨声 官僚资本 公营事业 起 先锋 作用 自 一日 起 铁道 客运 增价 六倍 货运 增价 四倍 电费 增价 一倍 七日 起 航空 邮资 亦 增 十倍 航空 平信 增至 每件 五十元 据悉 自来水 拟于 本月份 增资 五成 市民 对 一片 涨价 声 同声 叫苦 称之为 公开 垄断 居奇 延安 十六日 渝 战时 重庆 机器 工厂 数百家 胜利 纷纷 倒闭 截至 目前 止 现存 者 只有 民生 新昌 渝鑫 震旦 公益 外川 十余家 现存 各家 尚仅 部分 开工 苟维 残局 各该 工厂 近 曾 请求 财部 救济 竟 拒绝 现 准备 未 完成 之存 品作 完后 全体 关门 重庆 十六日 四川省 已有 二十余 县 市 公教人员 要求 国民党 当局 改善 待遇 纷纷 罢工 罢教 除 昨日 报导 重庆 成都 铜梁 江安 县市 外 最近 隆昌 华阳 南川 长宁 宜宾 二十余 县 公教人员 纷起 要求 提高 待遇 如 圆满解决 决定 联名 总 辞职 现 这 运动 尚 发展 延安 十七日 中央社 衡阳 此间 难民 麇 集 其中 儿童 六千余 多 露宿街头 痢 疟 流行 小孩 病毙 者 日 数十
1,第2版,1946-05-29,执行 民办公助 方针 太行 小学 获 显著成绩 真正 做到 群众 自己 办 领导 自流 本报 长治 太行 各地 小学 自 四四年 提出 民办公助 方针 以来 现已 获 显著成绩 左权 民办小学 已达 三分之二 涉县 三分之一 榆社 左权 个别 高 小 实行 民办 办得 很 好 目前 长治 潞城 五月份 起 决定 完全 民办 特别 黎城 做 得 普遍 成绩 该县 仁庄村 小学 转 民办 经 模范 义教 耐心 宣传 群众 自己 讨论 集股 投资 分红 解决 经费 问题 按分 抽工 种谷 四亩 棉 麻 各 一亩 公地 供给 教员 吃 穿 杂支 群众 对 小学 十分关心 全村 五十七个 学龄儿童 全部 入学 教员 情绪 很 高 白天 上课 夜间 帮助 民校 群众 自动 代 教员 耕种 家里 地 楸坡村 变卖 庙产 筹集 办学 基金 购买 学田 榔庄 群众 提出 靠山 办学 口号 全村 上山 砍柴 卖钱 两次 获利 一万 一千五百元 学校 开支 顺利 解决 长凝村 创办 变工 小学 聘请 本村 人当 小学 教员 群众 给 他代 种地 其他 如 新区 长治 地 群众 减租 翻身 迫切要求 子弟 识字 读书 自动 拿出 斗争 果实 组织 学校 据 各地 反映 转入 民办 中有 这样 几个 经验 不能 单纯 认为 民办公助 省 经费 必须 启发 群众 思想 应从 群众 需要 自愿 出发 有些 地区 则 因 单纯 财政 观点 命令 民办 致使 小学 转垮 二 要 做到 真正 群众 来办 学校 应 干部 群众 教员 家长 热心 教育 社会 人士 进行 广泛 酝酿 讨论 组织 实际 参加 学校 领导 三 不是 放弃 领导 应 随时 检查 解决 具体 困难 四 榆社 民办教育 委员会 群众组织 吸收 干部 教员 儿童 代表 社会 热心 教育 人士 参加 经过 民 选举 董事 具体 分工 定期 公布 账目 不少 县份 经常 举行 恳亲会 展览会 征询 群众 意见 群众 报告 工作
2,第2版,1946-05-18,太行 行署 指示 各 专县 防备 风雹 组织 抢收 晋冀鲁豫 总 分社 夏收 至 太行 行署 防止 延缓 时间 遭受 风雹 袭击 特 指示 各 专县 组织 群众 进行 抢收 指出 夏收 前后 要 抓紧 做 几项 工作 小麦 抽穗 扬花 停止 追肥 锄苗 免得 延缓 成熟期 二 动员群众 小麦 抽穗 进行 麦 垄插种 争取 麦收 较 迟 地方 能种 两季 三 拔除 病株 烧毁 选择 健康 小麦 区 准备 大量 选种 四 发动群众 田间 选种 健康 小麦 区 交换 种籽 五 割麦 前先 进行 一次 捉虫 使虫 不能 转入 秋菜 六 分 基点 进行 收成 统计 好 穗 病穗 百分比 统计 七 找 基点 开 小型 麦穗 赛会 宣传 六九 小麦 小麦 留种地 选种 办法 介绍 优良 麦种 组织 麦种 交换 农林局 掌握 六九 小麦 种籽 准备 秋后 调剂 供给 技术 指导 材料
3,第1版,1946-05-15,沁县 阎军 特务 横行 殴劫 联络组 人员 向东 沁线 小组 提出抗议 长治 十日 白晋 线 阎军 伪造 所谓 控诉 共党 罪行 沁县 城内 演出 殴打 中共 联络组 人员 事件 四月 三十日 晚 突有 便衣 特务 卅余人 身带 短枪 口称 请愿 闯入 中共 驻 沁县 联络组 住宅 其 捏造 事实 威迫 该 联络组 代理 组长 王清 同志 签名 盖章 予以 承认 当遭 王清 同志 严正 拒绝 该 便衣 特务 肆口谩骂 狂啸 乱打 王清 同志 左臂 打断 衣袋 撕碎 抢去 冀钞 五千元 法币 四 万余元 勋章 一个 水笔 一枝 文件 九件 无理 扣押 十二 小时 次日 联络组 人员 城内 沿街 宣传 揭发 特务 无耻 行为 消息 传遍 全城 虽 特务 统治 下 街谈巷议 无不 仗义执言 痛绝 特务 暴行 我方 你们 才 真是 诚心诚意 讲 和平 事后 联络组 向东 沁线 执行 小组 提出抗议 要求 严惩 国 特此 种 流氓行为 保障 我方 人员 安全 以利 调处 工作 进行
4,第1版,1946-05-19,盟军 总部 竟然 批准 币原 捧 吉田为 首相 远东 委员会 举行 会议 延安 十六日 东京 外相 吉田 已于 十五日 晨 接受 自由党 总裁 之职 这 达到 币原 捧 吉田 登台 第一个 步骤 接着 当天 下午 四时 半 币原 召开 进步党 自由党 国民 协同 党三党 首脑会议 待 达到 协议 币原 赴 皇宫 推荐 吉田为 新 首相 取得 盟军 总部 批准 所有 象征 表明 吉田 内阁 自由党 国民 协同 党 进步党 反动 联合内阁 延安 十六日 华府 远东 委员会 十三日 此间 举行 第十一次 会议 发表 施行 日本 新 宪法 若干 标准 初步 赔偿 政策 声明 声明 规定 日本 新 宪法 施行 必须 能 保证 最后 颁布 宪法 确系 日本 人民 自由 意志 表现 为此 须 充分 时间 机会 以便 详细 讨论 考虑 新 宪法 条文 声明 决定 日本 所有 兵工厂 飞机 轻金属 工业 设备 除 某种 限制 外 应 一律 交出 抵付 赔偿 粉碎 日本 财阀 集团 起 见 决定 首先 三井 三菱 作为 赔偿 之用
5,第1版,1946-05-28,美国 报纸 支持 马歇尔 声明 指责 国民党 政府 对 反动派 清除 工作 过于 迟缓 延安 二十五日 马歇尔 将军 二十日 关于 制止 东北 内战 澄清 华北 局势 声明 获得 美国 东部 若干 报纸 声援 如据 美 新闻处 旧金山 二十三日 华盛顿邮报 称 马歇尔 将军 此举 实属 无可非议 全世界 各国 需要 团结 和平 之殷 未有 甚 中国 者 若干 反动分子 对 迅速 执行 蒋 委员长 实现 民主 政府 诺言 予以 延搁 中央政府 对此 辈 反动分子 清除 工作 则 进行 过于 迟缓 对于 促使 双方 合作 努力 马帅 迄未 放弃 但 和平 团结 而言 唯有 中国 本身 方 能 完成 纽约 先驱 论坛报 类似 意见 认为 马帅 此举 进入 正确 路 延安 二十三日 美联社 哈罗德 密克 报导 中国 内战 继续 肢解 中国 国内 经济 出入口 贸易 由于 商人 不敢 运货 或 派 采购 人员 至 内地 战区 实际上 陷于 停顿 中国 商业 一面镜子 上海 入口 市场 现在 颇为 消沉 所有 货栈 均 堆满 货物 而且 除非 南京 谈判 获得 全盘 协议 停止 战争 中国 商人 预料 最近 无 恢复正常 贸易 之望
6,第2版,1946-05-21,冀鲁豫 区 境内 千里 水道 船只 往 还 晋冀鲁豫 九日 冀鲁豫 区 内河航运 现已 通行无阻 正 通行 水道 已达 千余里 从 济宁 至 微山湖 东岸 夏镇 长约 四百余里 河道 已有 二百余 只 商船 络绎不绝 南运河 商船 均 云集 此 大量 进出口 货物 均 得 自由贸易 济宁 特产 黑枣 羊皮 牛皮 皆 得到 广大 销路 同时 济宁市 粮食 亦 得到 大量 入口 从 平汉线 重镇 道口 至 冀南 名镇 临清 条长 约 六 百余里 之卫 河水 道 现有 大船 百余艘 来往 运送 临清 棉 卫河县 之麦 卫河 工商局 开展 内河航运 提倡 群众 造船 现已 造 出 七八丈 长 大船 两艘 开始 运输 十天 内即 获利 七十 万元 济宁 十八日 济宁市 交通 建设 日益 增进 现有 汽车 三 十余辆 自 五月 一日 鲁西 兴华 汽车 公司 合并 现正 赶修 济 宁 滕 县 济徐 州 两线 各线 乘客 日渐 增多 三月份 营业 收入 四十五 万元 四月份 增至 一百万元 以上 市内 公共汽车 不日 即可 开驶
7,第2版,1946-05-25,一万五千 干部 参加 群运 渤海 组织 群众 三百万 惠民 二十二日 渤海 区 坚决执行 中共 华东局 大胆 放手 发动群众 方针 三个 月 一万五千 七百多 干部 参加 群运 工作 全区 两万余 村庄 已有 一万五千个 村庄 进行 减租减息 占 全区 村庄 百分之六十 组织 起 群众 三百万 占 全区 人口 百分之二十 以上 培养 大批 积极分子 如 吴桥 老 雇工 田密永 寿光 李才 群众 推选 翻身 英雄 沧县 妇女干部 孟庆澄 被选为 帮助 群众 翻身 特等 模范 在群众中 起 带头作用 教育 许多 干部 认识 要 深入群众 培养 骨干分子 重大意义
8,第1版,1946-05-23,国民党 当局 撕毁 汉口 协议 背信 进攻 中原 解放区 我军 被迫 自卫 寿山 地区 发生 激战 中原军区 当局 要求 三人 小组 立予 制止 宣化 店 十八日 急电 军事 三人 小组 汉口 协议 墨迹未干 国民党 当局 违背 协议 十六日 六路 进攻 平汉路 西 安陆 应山 解放区 进犯 军为 国民党 六十六 军 十三 师 七十五 军 第六 师 所部 应山 地方 部队 中心 合击 目标 应山 西南 四十里 寿山 解放区 第一路 由大邦店 寿山 以北 三十余里 以北 地区 向南 出动 第二路 魏家店 应山 西北 十余里 西南 出动 经 大路 湾 毛家店 高家湾 孙家 观等 地 进攻 寿山 以北 唐家湾 屈家 咀 第三路 长岭岗 应 山西 偏 北约 十余里 东南 出动 经 余家 庙 孙家湾 进攻 寿山 西北 万家 咀 笔架山 第四路 平林市 寿山 西南 十余里 东北 出动 经荣石 咀 曹家湾 早 树林 进攻 寿山 以南 地区 第五路 接管 厅 寿 山东 十余里 向西 出动 经 桥头 湾 栗树 湾 进攻 寿山 东南地区 第六路 陈家 巷 寿山 东北 十余里 西南 出动 经 王家 湾 陈家 咀 进攻 新街 以东 地区 以上 各路 五月 十六日 午前 八 时 同时 进攻 开始 以轻 重机枪 大炮 组织 严密 火网 猛攻 寿山 地区 四周 我军 求生存 被迫 自卫 现 正在 寿山 地区 激战 中原军区 当局 军事 三人 小组 提出 要求 立即 制止 国民党 反动派 此种 背信弃义 进攻 延安 二十日 今日 本社 综合 军息 四平 街 前线 国方 使用 美 制 坦克 飞机 战况 日趋激烈 本溪 以南 安沈 铁路 桥头 车站 草 河口 车站 四日 五日 遭 国民党 飞机 轰炸 北宁 路上 美军 唐山 至 开平 间 最近 增兵 五百余 连日 国民党 军在 美军 保护 下 继续 运往 东北 二 国民党 十三 军 九 十二 军 九 十四 军 十六 军 各 一部 率 通县 武清 县 伪军 共 一万五千 人向 冀中 解放区 永定河 以北 地区 进犯 十五日 侵占 安次 县城 十六日 侵占 固安 以北 庞各庄 及安次 以西 韩村 地 各个 地区 均 激战 三 国民党 军 违反 汉口 协议 三十二 执行 组 调处 命令 十六日 进攻 中原军区 平汉路 西 寿山 地区 外 同日 路 东陂 黄陂 安 黄安 南 地区 进攻 四 济南 国民党 军 进攻 历城 解放区 侵占 村镇 数十处 八路军 被迫 自卫 十六日 恢复 中宫 镇 豫东 军民 击退 国民党 伪军 进攻 何 杨集 恢复 五 此外 泰州 以南 口岸 国民党 一百 军 所部 向东 进攻 苏皖 分区 边缘 地区 侵占 村镇 若干处 晋中 阎锡山 军 结合 日军 伪军 杨诚 等部 从 七日 至 十四日 进攻 清沟 徐沟 一带 共达 十七次
9,第1版,1946-05-25,日 人民 要求 民主 粮食 廾 五万 游行示威 美军 当场 卸去 炮衣 如临大敌 延安 二十日 东京 日本 人民 要求 建立 民主 政府 解决 日益严重 饥荒 示威运动 正 如火如荼 展开 继 十七日 万余 一日 三起 示威 十九日 日本 人民 共产党 社会党 民主党派 领导 下 日 皇宫 前 举行 二十五万 群众 大会 提出 解决 粮食 问题 组织 民主 政府 要求 群众 大会 结束 转为 浩大 游行示威 当时 皇宫 附近 有美 机械化 骑兵 分乘 装甲车 来往 巡逻 车上 机枪 轻型 大炮 均 卸去 炮衣 如临大敌 但 群众 仍 日 皇 呈递 请求书 谓 劳动者 由于 饥饿 不能 继续 努力 工作 而且 无法 维持 生存 可是 现政府 对 改善 国民 生活状况 什么 不能 作 要求 日皇 准许 人民 自己 管理 粮食 组织 新政府 东京 群众 大会 组织者 之一 社会党 左翼 领袖 加藤 勘十 要求 把 财主 隐藏 粮食 分给 人民 建立 民主 政府 日共 代表 工人 要求 把 给予 工人 配给 粮 至少 足以 保持 能 继续 工作 可是 现在 反动 政府 无法 满足 人民 要求 十九日 示威 群众 代表 二十五 吉田 官邸 内 实行 静坐示威 当日 夜间 均 躺 会议桌 靠椅 直至 翌日 始 离去
