标题,日期,版次,内容
国民党统治区  物价飞涨民不堪命  重庆机器工厂数百家倒闭,1946-05-20,第1版,"专栏：

　　国民党统治区
    物价飞涨民不堪命
    重庆机器工厂数百家倒闭
    【新华社延安十七日电】国民党统治区连日物价继续飞涨。据中央社报导：截至十二日止，北平面粉每袋由一万八涨至二万二，米每百斤由三万五涨至五万，黄金每两由十五万涨至二十一万，南京黄金竟达一十八万六，米每石三万四，杭州米每石四万，金十八万，天津米每百斤四万，黄金二十万以上。济南大米每百斤四万，小米每百斤二万七，面粉每四十斤一万九。青岛大米每百斤四万八千五，太原黄金则突破二十四万五。更有甚者，潮汕一带，米竟涨至每石十六万，广州上月二十二日，米每百斤即达六万。长沙上月二十三日，米每石即达五万，现当不止此数。
    【新华社延安十五日电】北平讯：在百物价涨声中，官僚资本的公营事业起了先锋作用，自一日起，铁道客运增价六倍，货运增价四倍，电费增价一倍；七日起，航空邮资亦增十倍，航空平信增至每件五十元。据悉自来水也拟于本月份增资五成，市民对着一片涨价声，同声叫苦，称之为“公开的垄断居奇”。
    【新华社延安十六日电】渝讯：战时重庆机器工厂数百家，胜利后纷纷倒闭，截至目前止，现存者只有民生、新昌、渝鑫、震旦、公益、外川等十余家，而现存各家尚仅部分开工，苟维残局。各该工厂近曾请求财部救济，竟被拒绝，现准备将未完成之存品作完后，即全体关门。
    【新华社重庆十六日电】四川省已有二十余县、市公教人员，要求国民党当局改善待遇，并纷纷罢工罢教，除昨日报导之重庆、成都、铜梁、江安等县市外，最近又有隆昌、华阳、南川、长宁、宜宾等二十余县公教人员，纷起要求提高待遇，如不圆满解决，决定联名总辞职，现这一运动，尚在发展中。
    【新华社延安十七日电】中央社衡阳讯：此间难民麇集，其中儿童六千余人，多露宿街头，痢疟流行，小孩病毙者日有数十人。"
执行民办公助方针后  太行小学获显著成绩。  真正做到群众自己办，领导上不自流。,1946-05-29,第2版,"专栏：

　　执行民办公助方针后
    太行小学获显著成绩。       
    真正做到群众自己办，领导上不自流。
    【本报长治讯】太行各地小学，自四四年提出民办公助的方针以来，现已获显著成绩。左权民办小学已达三分之二，涉县也有三分之一，榆社、左权个别高小实行民办后，办得很好，目前长治、潞城已于五月份起，决定完全民办。特别是黎城，做得普遍，而有成绩，该县仁庄村小学，在转民办中，经模范义教耐心宣传，群众自己讨论集股投资，以分红解决经费问题；并按分抽工，种谷四亩，棉、麻各一亩（都是公地），供给教员吃穿及杂支。群众对小学十分关心，全村五十七个学龄儿童，全部入学，教员情绪也很高，白天上课，夜间帮助民校，群众自动代教员耕种家里地。楸坡村变卖庙产，筹集办学基金，购买学田。榔庄群众提出“靠山办学”口号，全村上山砍柴卖钱，两次即获利一万一千五百元，学校开支顺利解决。长凝村创办“变工小学”，聘请本村人当小学教员，群众给他代种地。其他如新区长治等地群众减租翻身后，迫切要求子弟识字读书，自动拿出斗争果实，组织学校。据各地反映，转入民办中有这样几个经验：（一）不能单纯认为“民办公助”是为省经费，必须启发群众思想，应从群众需要与自愿出发。有些地区则因单纯财政观点，命令民办，致使小学转垮。（二）要做到真正是为群众来办学校，应在干部、群众、教员、家长及热心教育的社会人士中进行广泛酝酿讨论，组织他们实际参加学校领导。（三）不是放弃领导，应随时检查解决具体困难。（四）榆社有民办教育委员会的群众组织，吸收干部教员儿童代表及社会热心教育人士参加，经过民选举董事，具体分工，定期公布账目。不少县份并经常举行恳亲会，展览会等，征询群众意见，向群众报告工作。"
太行行署指示各专县  防备风雹组织抢收,1946-05-18,第2版,"专栏：

　　太行行署指示各专县
    防备风雹组织抢收
    【新华社晋冀鲁豫总分社讯】夏收将至，太行行署为防止延缓时间，遭受风雹袭击，特指示各专县组织群众进行抢收，并指出夏收前后要抓紧做的几项工作：一、小麦抽穗扬花后，停止上追肥、锄苗，免得延缓成熟期。二、动员群众于小麦抽穗后进行麦垄插种，争取麦收较迟的地方也能种两季。三、拔除病株并烧毁之。选择健康小麦区准备大量选种。四、发动群众在田间选种，及与健康小麦区交换种籽。五、割麦前先进行一次捉虫，使虫不能转入秋菜中。六、分基点进行收成统计和好穗病穗百分比统计。七．找基点开小型的麦穗赛会，宣传“一六九”小麦，小麦留种地的选种办法。介绍优良麦种，组织麦种交换。农林局掌握“一六九”小麦种籽，准备秋后调剂，并供给技术指导材料。"
沁县阎军特务横行  殴劫我联络组人员  我已向东沁线小组提出抗议,1946-05-15,第1版,"专栏：

　　沁县阎军特务横行
    殴劫我联络组人员
    我已向东沁线小组提出抗议
    【新华社长治十日电】白晋线阎军伪造所谓“控诉共党罪行”，已在沁县城内演出殴打中共联络组人员事件。四月三十日晚，突有便衣特务卅余人，身带短枪，口称“请愿”，闯入我中共驻沁县联络组住宅，以其捏造之事实，威迫该联络组代理组长王清同志签名盖章，予以承认，当遭王清同志严正拒绝，该便衣特务等即肆口谩骂，狂啸乱打，王清同志左臂打断，衣袋撕碎，抢去冀钞五千元，法币四万余元，勋章一个，水笔一枝，文件九件，并无理扣押十二小时。次日我联络组人员在城内沿街宣传，揭发特务的无耻行为，消息传遍全城，虽在特务统治下，街谈巷议，无不仗义执言痛绝特务暴行。而向我方说：“你们才真是诚心诚意讲和平的。”事后我联络组即向东沁线执行小组提出抗议，要求严惩国特此种流氓行为，保障我方人员安全，以利调处工作之进行。"
盟军总部竟然批准  币原捧吉田为首相  远东委员会举行会议,1946-05-19,第1版,"专栏：

　　盟军总部竟然批准
    币原捧吉田为首相
    远东委员会举行会议
    【新华社延安十六日电】东京讯：外相吉田已于十五日晨接受自由党总裁之职，这已达到了币原捧吉田登台的第一个步骤。接着在当天下午四时半，币原召开进步党、自由党、及国民协同党三党首脑会议，待达到协议后，币原即赴皇宫推荐吉田为新首相，并取得盟军总部批准。所有象征，表明吉田内阁将为自由党、国民协同党、及进步党的反动联合内阁。
    【新华社延安十六日电】华府讯：远东委员会十三日在此间举行第十一次会议，并发表施行日本新宪法之若干标准及初步赔偿政策之声明，声明规定日本新宪法之施行，必须能保证最后颁布之宪法确系日本人民自由意志之表现。为此须有充分之时间与机会，以便详细讨论及考虑新宪法条文。声明决定，日本所有之兵工厂飞机及轻金属工业设备，除某种限制外，应一律交出，抵付赔偿，并为粉碎日本财阀集团起见，已决定首先以三井、三菱作为赔偿之用。"
美国报纸支持马歇尔声明  指责国民党政府对反动派清除工作过于迟缓,1946-05-28,第1版,"专栏：

　　美国报纸支持马歇尔声明
    指责国民党政府对反动派清除工作过于迟缓
    【新华社延安二十五日电】马歇尔将军二十日关于制止东北内战与澄清华北局势的声明，已获得美国东部若干报纸的声援。如据美新闻处旧金山二十三日讯：华盛顿邮报称：“马歇尔将军此举，实属无可非议，全世界各国需要团结与和平之殷，未有甚于中国者。若干反动分子对迅速执行蒋委员长实现民主政府之诺言，予以延搁，而中央政府对此辈反动分子的清除工作，则进行过于迟缓，对于促使双方合作之努力，马帅迄未放弃。但就和平与团结而言，唯有中国人本身，方能完成之”。纽约先驱论坛报，也有类似意见，并认为马帅此举“已进入正确之路”。
    【新华社延安二十三日电】美联社讯：哈罗德·密克报导：中国内战之继续，肢解了中国国内的经济。出入口贸易，由于商人不敢运货或派采购人员至内地战区，实际上已陷于停顿。为中国商业一面镜子之上海，入口市场现在颇为消沉，所有货栈，均堆满货物，而且除非南京谈判获得全盘协议以停止战争，中国商人预料最近并无恢复正常贸易之望。"
冀鲁豫区境内  千里水道船只往还,1946-05-21,第2版,"专栏：

　　冀鲁豫区境内
    千里水道船只往还
    【晋冀鲁豫九日电】冀鲁豫区内河航运，现已通行无阻。正通行之水道已达千余里。从济宁至微山湖东岸的夏镇，长约四百余里之河道，已有二百余只商船，络绎不绝。南运河之商船，均云集于此，大量进出口之货物，均得自由贸易。济宁之特产黑枣、羊皮、牛皮等，皆得到广大的销路。同时，济宁市的粮食，亦得到大量的入口。从平汉线之重镇道口，至冀南名镇临清是条长约六百余里之卫河水道，现有大船百余艘，来往运送临清的棉与卫河县之麦。又卫河工商局为开展内河航运，并提倡群众造船，现已造出七八丈长之大船两艘，开始运输，十天内即获利七十万元。
    【新华社济宁十八日电】济宁市交通建设，日益增进。现有汽车三十余辆，自五月一日与鲁西兴华汽车公司合并，现正赶修济（宁）滕（县），济徐（州）两线。各线乘客日渐增多，三月份营业收入，为四十五万元，四月份增至一百万元以上，市内公共汽车，不日即可开驶。"
一万五千干部参加群运  渤海组织群众三百万,1946-05-25,第2版,"专栏：

　　一万五千干部参加群运
    渤海组织群众三百万
    【新华社惠民二十二日电】渤海区坚决执行中共华东局大胆放手发动群众方针后，三个月中，有一万五千七百多干部参加群运工作，全区两万余村庄中，已有一万五千个村庄进行了减租减息，占全区村庄百分之六十，组织起群众三百万，占全区人口百分之二十以上。培养了大批积极分子，如吴桥的老雇工田密永，寿光的李才，被群众推选为翻身英雄。沧县妇女干部孟庆澄，被选为帮助群众翻身的特等模范。他们在群众中，起了带头作用，并教育了许多干部，认识到要深入群众中培养骨干分子的重大意义。"
国民党当局撕毁汉口协议  背信进攻中原解放区  我军被迫自卫寿山地区发生激战中原军区当局要求三人小组立予制止,1946-05-23,第1版,"专栏：

　　国民党当局撕毁汉口协议
    背信进攻中原解放区
    我军被迫自卫寿山地区发生激战中原军区当局要求三人小组立予制止
    【新华社宣化店十八日急电】军事三人小组的汉口协议墨迹未干，而国民党当局即违背协议，于十六日六路进攻平汉路西安陆、应山解放区，进犯军为国民党六十六军十三师、及七十五军第六师所部，与应山的地方部队，中心合击目标为应山西南四十里的寿山解放区，第一路由大邦店（寿山以北三十余里）以北地区向南出动。第二路由魏家店（应山西北十余里）向西南出动，经大路湾、毛家店、高家湾、孙家观等地，进攻寿山以北的唐家湾、屈家咀。第三路由长岭岗（应山西偏北约十余里）向东南出动，经余家庙、孙家湾，进攻寿山西北之万家咀、笔架山。第四路由平林市（寿山西南十余里）向东北出动，经荣石咀、曹家湾、早树林进攻寿山以南地区。第五路由接管厅（寿山东十余里）向西出动，经桥头湾、栗树湾、进攻寿山东南地区。第六路由陈家巷（寿山东北十余里）向西南出动，经王家湾、陈家咀，进攻新街以东地区。以上各路，于五月十六日午前八时同时进攻，一开始即以轻重机枪大炮组织严密的火网，猛攻寿山地区四周，我军为求生存，被迫自卫，现正在寿山地区激战中。中原军区当局，已向军事三人小组提出要求，立即制止国民党反动派此种背信弃义的进攻。
    【新华社延安二十日电】今日本社综合军息：（一）四平街前线，国方使用美制坦克飞机，战况日趋激烈。本溪以南，安沈铁路上的桥头车站、草河口等车站，四日五日遭国民党飞机轰炸。北宁路上美军、在唐山至开平间，最近增兵五百余人。连日国民党军在美军保护下，继续运往东北。（二）国民党十三军、九十二军、九十四军、十六军各一部，率通县、武清等县伪军共一万五千人向冀中解放区永定河以北地区进犯，于十五日侵占安次县城，十六日侵占固安以北的庞各庄，及安次以西的韩村等地，各个地区均在激战中。（三）国民党军违反汉口协议，及三十二执行组的调处命令，于十六日进攻中原军区平汉路西寿山地区外，同日又向路东陂（黄陂）、安（黄安）南地区进攻。（四）济南国民党军进攻历城解放区，侵占村镇数十处。八路军被迫自卫，于十六日恢复中宫镇，又豫东军民击退国民党与伪军的进攻，并将何杨集恢复。（五）此外泰州以南的口岸，国民党一百军所部，向东进攻苏皖一分区边缘地区，侵占村镇若干处。晋中阎锡山军，结合日军及伪军杨诚等部，从七日至十四日进攻清沟、徐沟一带，共达十七次。"
日人民要求民主、粮食  廾五万人游行示威  美军当场卸去炮衣如临大敌,1946-05-25,第1版,"专栏：

　　日人民要求民主、粮食
    廾五万人游行示威
    美军当场卸去炮衣如临大敌
    【新华社延安二十日电】东京讯：日本人民要求建立民主政府及解决日益严重的饥荒，示威运动正如火如荼的展开，继十七日万余人一日三起示威后，十九日日本人民在共产党及社会党等民主党派领导下，又在日皇宫前举行二十五万人的群众大会，提出解决粮食问题及组织民主政府的要求，群众大会结束后，即转为浩大的游行示威，当时皇宫附近有美机械化骑兵分乘装甲车来往巡逻，车上并有机枪及轻型大炮，均卸去炮衣，如临大敌，但群众仍向日皇呈递请求书，谓：“我们劳动者由于饥饿，不能继续努力工作，而且无法维持生存，可是现政府对改善国民生活状况，什么也不能作，我们要求日皇准许人民自己管理粮食，并组织新政府。东京群众大会的组织者之一社会党左翼领袖加藤勘十，要求把财主隐藏的粮食分给人民，建立民主政府。日共代表说：“我们工人要求把给予工人的配给粮，至少足以保持他们能继续工作，可是现在反动政府无法满足人民的要求。”又讯：十九日有示威群众代表二十五人，在吉田官邸内实行静坐示威，当日夜间均躺于会议桌及靠椅上，直至翌日始离去。"
